date,symbol,open,high,low,close
2021-05-11,ARKK,99.86000061035156,107.12999725341797,98.88999938964844,106.12000274658203
2021-05-12,ARKK,103.33999633789062,105.83999633789062,101.52999877929688,102.16000366210938
2021-05-13,ARKK,103.29000091552734,104.68000030517578,97.22000122070312,99.4800033569336
2021-05-14,ARKK,101.8499984741211,104.63999938964844,100.56999969482422,104.30999755859375
2021-05-17,ARKK,102.75,104.87999725341797,100.94000244140625,103.30999755859375
2021-05-18,ARKK,103.30999755859375,107.19000244140625,102.27999877929688,104.79000091552734
2021-05-19,ARKK,100.04000091552734,103.23999786376953,100.02999877929688,102.97000122070312
2021-05-20,ARKK,104.5,107.11000061035156,104.05000305175781,106.58999633789062
2021-05-21,ARKK,107.6500015258789,108.13999938964844,105.70999908447266,105.83999633789062
2021-05-24,ARKK,106.83000183105469,109.48999786376953,105.9000015258789,108.7300033569336
2021-05-25,ARKK,109.5,110.7699966430664,108.32099914550781,109.37999725341797
2021-05-26,ARKK,109.97000122070312,111.75,109.76000213623047,111.43000030517578
2021-05-27,ARKK,111.29000091552734,112.30500030517578,109.2699966430664,112.27999877929688
2021-05-28,ARKK,112.45800018310547,115.13999938964844,111.8499984741211,112.0999984741211
2021-06-01,ARKK,112.8499984741211,113.73999786376953,110.0510025024414,111.25
2021-06-02,ARKK,111.33000183105469,112.2300033569336,110.26399993896484,111.30000305175781
2021-06-03,ARKK,109.80999755859375,110.68000030517578,107.38999938964844,107.43000030517578
2021-06-04,ARKK,108.80000305175781,110.29499816894531,108.44000244140625,109.51000213623047
2021-06-07,ARKK,109.2699966430664,113.05000305175781,108.93000030517578,112.69000244140625
2021-06-08,ARKK,113.75,114.7699966430664,110.72000122070312,113.12999725341797
2021-06-09,ARKK,113.75,114.72000122070312,112.6500015258789,112.8499984741211
2021-06-10,ARKK,112.44999694824219,115.12999725341797,112.13800048828125,114.97000122070312
2021-06-11,ARKK,115.47000122070312,116.16000366210938,114.81999969482422,116.12000274658203
2021-06-14,ARKK,116.58999633789062,118.90799713134766,116.41000366210938,118.33000183105469
2021-06-15,ARKK,117.8499984741211,118.05000305175781,114.63999938964844,115.08999633789062
2021-06-16,ARKK,114.9000015258789,115.7699966430664,111.87999725341797,114.52999877929688
2021-06-17,ARKK,113.80000305175781,119.16000366210938,113.62000274658203,118.5
2021-06-18,ARKK,117.7699966430664,119.8499984741211,117.37999725341797,118.9000015258789
2021-06-21,ARKK,118.47000122070312,120.18000030517578,116.5199966430664,119.51000213623047
2021-06-22,ARKK,119.04000091552734,121.05000305175781,118.8499984741211,121.0199966430664
2021-06-23,ARKK,121.5,123.87999725341797,121.22000122070312,123.52999877929688
2021-06-24,ARKK,124.91000366210938,127.22000122070312,124.5199966430664,125.27999877929688
2021-06-25,ARKK,125.94000244140625,126.33000183105469,124.02999877929688,125.48999786376953
2021-06-28,ARKK,128.6999969482422,130.8300018310547,128.53399658203125,130.22999572753906
2021-06-29,ARKK,130.07000732421875,131.49899291992188,129.00999450683594,130.8800048828125
2021-06-30,ARKK,130.5500030517578,132.5,129.05999755859375,130.77999877929688
2021-07-01,ARKK,130.75,131.5500030517578,127.27999877929688,129.16000366210938
2021-07-02,ARKK,129.8800048828125,131.42999267578125,127.88999938964844,128.14999389648438
2021-07-06,ARKK,128.10000610351562,128.9759979248047,126.41000366210938,127.23999786376953
2021-07-07,ARKK,128.00999450683594,128.27999877929688,123.12000274658203,124.26000213623047
2021-07-08,ARKK,120.37999725341797,124.33999633789062,119.38999938964844,123.30999755859375
2021-07-09,ARKK,123.61000061035156,125.9000015258789,122.02999877929688,125.62000274658203
2021-07-12,ARKK,126.23999786376953,127.4000015258789,124.01000213623047,124.73999786376953
2021-07-13,ARKK,124.48999786376953,124.94999694824219,122.19999694824219,122.2699966430664
2021-07-14,ARKK,123.30999755859375,123.30999755859375,118.06999969482422,118.16999816894531
2021-07-15,ARKK,118.05000305175781,119.41000366210938,114.45899963378906,116.4000015258789
2021-07-16,ARKK,117.80999755859375,117.94000244140625,115.44999694824219,116.52999877929688
2021-07-19,ARKK,113.91999816894531,117.58000183105469,113.2699966430664,117.27999877929688
2021-07-20,ARKK,117.51000213623047,121.17500305175781,116.44999694824219,120.76000213623047
2021-07-21,ARKK,120.875,122.91000366210938,119.9800033569336,122.66000366210938
2021-07-22,ARKK,122.5,123.41999816894531,121.25,121.70999908447266
2021-07-23,ARKK,122.0,122.55999755859375,120.37999725341797,122.43000030517578
2021-07-26,ARKK,122.5,123.11000061035156,120.94999694824219,121.5999984741211
2021-07-27,ARKK,121.0,121.5199966430664,115.58300018310547,118.62000274658203
2021-07-28,ARKK,118.55999755859375,121.77999877929688,117.95999908447266,121.3499984741211
2021-07-29,ARKK,121.16000366210938,123.2300033569336,120.66999816894531,121.5999984741211
2021-07-30,ARKK,120.0,122.41000366210938,119.62000274658203,120.0
